sample_id,type,peak_id,r_time,peak_area,wavelength,purity_pct
SMP_A1,smp,1,10.4,7.55,214,3.979129334879308
SMP_A1,smp,2,15.2,182.19,214,96.02087066512068
SMP_A2,smp,1,10.4,5.11,214,0.6140941210402346
SMP_A2,smp,2,15.2,827.01,214,99.38590587895976
SMP_A3,smp,1,10.4,5.78,214,5.920917844703954
SMP_A3,smp,2,15.2,91.84,214,94.07908215529604
STD_1_uM,std,1,10.4,6.02,214,26.83905483727151
STD_1_uM,std,2,15.2,16.41,214,73.1609451627285
STD_10_uM,std,1,10.4,5.49,214,3.4821768362298617
STD_10_uM,std,2,15.2,152.17,214,96.51782316377013
STD_20_uM,std,1,10.4,5.71,214,1.8501117843372323
STD_20_uM,std,2,15.2,302.92,214,98.14988821566277
STD_40_uM,std,1,10.4,3.79,214,0.6268711027307763
STD_40_uM,std,2,15.2,600.8,214,99.37312889726923
STD_5_uM,std,1,10.4,6.92,214,8.238095238095237
STD_5_uM,std,2,15.2,77.08,214,91.76190476190476
