sample_id,type,peak_id,r_time,peak_area,wavelength,purity_pct
SMP_Synthesis1,smp,1,7.2,20.73,254,14.491436560643134
SMP_Synthesis1,smp,2,9.8,29.7,254,20.761971338692767
SMP_Synthesis1,smp,4,12.5,77.17,254,53.94617266689969
SMP_Synthesis1,smp,3,18.3,15.45,254,10.80041943376442
SMP_Synthesis2,smp,1,7.2,11.33,254,5.2590048273301155
SMP_Synthesis2,smp,2,9.8,8.21,254,3.8108057927961387
SMP_Synthesis2,smp,4,12.5,189.19,254,87.81563312291125
SMP_Synthesis2,smp,3,18.3,6.71,254,3.1145562569624956
SMP_Synthesis3,smp,1,7.2,4.83,254,1.3894082789172393
SMP_Synthesis3,smp,2,9.8,3.58,254,1.029830566982136
SMP_Synthesis3,smp,3,12.5,339.22,254,97.58076115410061
