sample_id,type,peak_id,r_time,peak_area,wavelength,purity_pct
BLK_01,blk,1,10.4,1.76,254,53.65853658536585
BLK_01,blk,2,15.2,1.52,254,46.34146341463414
SMP_A1,smp,1,10.4,5.38,254,2.8912295786758384
SMP_A1,smp,2,15.2,180.7,254,97.10877042132417
SMP_A2,smp,1,10.4,4.43,254,0.5321704867618087
SMP_A2,smp,2,15.2,828.01,254,99.4678295132382
STD_1_uM,std,1,10.4,5.35,254,25
STD_1_uM,std,2,15.2,16.05,254,75
STD_10_uM,std,1,10.4,4.36,254,2.8365103116257893
STD_10_uM,std,2,15.2,149.35,254,97.16348968837421
STD_40_uM,std,1,10.4,4.57,254,0.7550848437783982
STD_40_uM,std,2,15.2,600.66,254,99.2449151562216
