[Header]
Application Name	LabSolutions
Version	5.97
Injection Volume	10,0
Sample Name	

[PDA Multi Chromatogram(Ch1)]
Wavelength(nm)	254
Intensity Units	mAU

R.Time (min)	Intensity
0,00	30,334
0,05	31,002
0,10	30,129
0,15	30,086
0,20	31,009
0,25	31,318
0,30	30,707
0,35	29,719
0,40	29,810
0,45	29,729
0,50	31,619
0,55	32,629
0,60	28,927
0,65	29,701
0,70	30,214
0,75	29,766
0,80	29,730
0,85	29,389
0,90	29,887
0,95	28,846
1,00	30,828
1,05	30,320
1,10	30,605
1,15	29,613
1,20	30,539
1,25	29,425
1,30	29,620
1,35	29,164
1,40	29,357
1,45	30,520
1,50	30,748
1,55	30,450
1,60	29,295
1,65	28,149
1,70	30,578
1,75	29,873
1,80	30,273
1,85	29,687
1,90	30,582
1,95	29,403
2,00	29,178
2,05	30,074
2,10	29,484
2,15	29,867
2,20	28,856
2,25	30,211
2,30	29,103
2,35	30,200
2,40	30,993
2,45	31,963
2,50	29,877
2,55	29,688
2,60	28,263
2,65	30,200
2,70	31,688
2,75	29,714
2,80	30,641
2,85	28,797
2,90	29,781
2,95	30,048
3,00	28,902
3,05	30,460
3,10	28,882
3,15	28,604
3,20	30,190
3,25	30,528
3,30	32,163
3,35	30,479
3,40	29,382
3,45	29,578
3,50	30,528
3,55	28,592
3,60	30,109
3,65	30,205
3,70	30,043
3,75	30,906
3,80	30,331
3,85	31,364
3,90	28,920
3,95	28,211
4,00	29,645
4,05	29,774
4,10	28,893
4,15	31,051
4,20	28,802
4,25	31,484
4,30	29,768
4,35	30,557
4,40	29,334
4,45	29,637
4,50	30,592
4,55	30,758
4,60	31,005
4,65	31,101
4,70	29,958
4,75	29,555
4,80	27,602
4,85	29,695
4,90	31,961
4,95	30,076
5,00	31,560
5,05	29,212
5,10	29,270
5,15	28,883
5,20	30,532
5,25	30,820
5,30	28,229
5,35	31,955
5,40	30,951
5,45	29,739
5,50	29,926
5,55	30,865
5,60	28,327
5,65	29,967
5,70	29,627
5,75	29,572
5,80	28,351
5,85	28,745
5,90	27,278
5,95	30,543
6,00	31,023
6,05	31,366
6,10	30,524
6,15	27,491
6,20	29,988
6,25	30,013
6,30	29,636
6,35	29,556
6,40	29,985
6,45	30,411
6,50	29,304
6,55	30,130
6,60	30,468
6,65	30,412
6,70	29,215
6,75	30,954
6,80	28,845
6,85	29,626
6,90	29,343
6,95	29,966
7,00	28,518
7,05	28,791
7,10	30,614
7,15	30,571
7,20	29,946
7,25	31,564
7,30	31,062
7,35	29,830
7,40	30,396
7,45	29,290
7,50	28,388
7,55	30,621
7,60	29,530
7,65	30,884
7,70	28,769
7,75	30,116
7,80	29,645
7,85	27,871
7,90	29,566
7,95	30,873
8,00	27,860
8,05	29,282
8,10	31,726
8,15	30,718
8,20	30,895
8,25	29,216
8,30	30,524
8,35	30,267
8,40	29,675
8,45	29,872
8,50	26,203
8,55	30,344
8,60	30,833
8,65	30,521
8,70	30,565
8,75	29,522
