[Header]
Application Name	LabSolutions
Version	5.97
Injection Volume	10,0
Sample Name	

[PDA Multi Chromatogram(Ch1)]
Wavelength(nm)	254
Intensity Units	mAU

R.Time (min)	Intensity
0,00	29,707
0,05	30,396
0,10	29,698
0,15	30,140
0,20	29,844
0,25	29,280
0,30	30,601
0,35	29,674
0,40	29,191
0,45	28,106
0,50	31,364
0,55	28,952
0,60	30,114
0,65	30,494
0,70	30,121
0,75	31,249
0,80	29,697
0,85	29,433
0,90	30,536
0,95	30,400
1,00	29,746
1,05	30,693
1,10	32,914
1,15	28,462
1,20	29,402
1,25	31,275
1,30	29,641
1,35	28,978
1,40	30,537
1,45	28,180
1,50	30,646
1,55	31,068
1,60	29,523
1,65	31,164
1,70	29,280
1,75	30,159
1,80	29,169
1,85	29,077
1,90	30,487
1,95	29,978
2,00	30,304
2,05	29,541
2,10	31,112
2,15	29,265
2,20	28,654
2,25	29,851
2,30	29,327
2,35	28,646
2,40	30,553
2,45	30,608
2,50	29,693
2,55	30,590
2,60	30,118
2,65	28,662
2,70	28,204
2,75	31,829
2,80	29,420
2,85	31,599
2,90	28,774
2,95	30,743
3,00	29,084
3,05	29,641
3,10	29,305
3,15	29,861
3,20	29,620
3,25	29,441
3,30	30,210
3,35	30,754
3,40	29,458
3,45	29,421
3,50	29,878
3,55	30,574
3,60	29,916
3,65	30,115
3,70	31,070
3,75	31,255
3,80	29,405
3,85	27,994
3,90	30,601
3,95	31,001
4,00	30,372
4,05	29,962
4,10	30,743
4,15	29,215
4,20	31,228
4,25	29,668
4,30	30,190
4,35	30,267
4,40	30,638
4,45	30,043
4,50	30,279
4,55	31,633
4,60	31,281
4,65	28,455
4,70	32,107
4,75	28,898
4,80	30,392
4,85	29,354
4,90	31,569
4,95	30,787
5,00	28,122
5,05	30,472
5,10	30,217
5,15	31,242
5,20	30,686
5,25	29,390
5,30	29,643
5,35	30,548
5,40	30,231
5,45	29,965
5,50	30,297
5,55	29,270
5,60	29,970
5,65	31,671
5,70	30,125
5,75	29,609
5,80	30,974
5,85	30,262
5,90	30,737
5,95	28,520
6,00	30,611
6,05	29,167
6,10	29,007
6,15	28,826
6,20	29,213
6,25	31,325
6,30	32,748
6,35	30,866
6,40	30,327
6,45	31,605
6,50	28,369
6,55	29,989
6,60	30,224
6,65	30,445
6,70	30,968
6,75	29,782
6,80	29,918
6,85	31,275
6,90	30,002
6,95	30,449
7,00	29,145
7,05	30,895
7,10	31,973
7,15	31,101
7,20	29,495
7,25	28,709
7,30	29,381
7,35	27,595
7,40	32,159
7,45	29,255
7,50	29,270
7,55	29,746
7,60	30,974
7,65	29,960
7,70	27,923
7,75	31,230
7,80	27,961
7,85	31,488
7,90	29,866
7,95	29,062
8,00	28,602
8,05	31,445
8,10	30,570
8,15	29,173
8,20	30,729
8,25	29,656
8,30	31,189
8,35	28,755
8,40	31,913
8,45	28,806
8,50	29,140
8,55	30,613
8,60	30,838
8,65	28,034
8,70	31,569
8,75	30,432
