[Header]
Application Name	LabSolutions
Version	5.97
Injection Volume	10,0
Sample Name	

[PDA Multi Chromatogram(Ch1)]
Wavelength(nm)	254
Intensity Units	mAU

R.Time (min)	Intensity
0,00	31,503
0,05	30,816
0,10	31,340
0,15	31,027
0,20	31,067
0,25	29,526
0,30	29,883
0,35	29,583
0,40	29,354
0,45	29,257
0,50	30,637
0,55	31,906
0,60	28,890
0,65	31,303
0,70	30,821
0,75	29,666
0,80	28,744
0,85	28,659
0,90	30,001
0,95	30,335
1,00	29,162
1,05	30,096
1,10	30,926
1,15	30,842
1,20	30,436
1,25	28,749
1,30	30,056
1,35	29,496
1,40	27,718
1,45	30,171
1,50	29,330
1,55	30,257
1,60	31,554
1,65	29,803
1,70	30,224
1,75	31,371
1,80	30,458
1,85	28,544
1,90	27,988
1,95	30,016
2,00	31,980
2,05	28,434
2,10	31,329
2,15	28,758
2,20	28,183
2,25	29,721
2,30	30,938
2,35	30,463
2,40	31,253
2,45	31,146
2,50	27,042
2,55	30,117
2,60	30,649
2,65	29,492
2,70	32,140
2,75	30,320
2,80	29,582
2,85	29,916
2,90	28,211
2,95	28,362
3,00	27,949
3,05	30,432
3,10	30,935
3,15	31,125
3,20	30,108
3,25	30,008
3,30	30,233
3,35	29,604
3,40	30,182
3,45	30,067
3,50	30,454
3,55	31,447
3,60	29,241
3,65	28,581
3,70	28,123
3,75	29,098
3,80	30,118
3,85	29,164
3,90	28,767
3,95	30,366
4,00	28,378
4,05	28,887
4,10	30,440
4,15	30,136
4,20	31,572
4,25	31,399
4,30	29,453
4,35	29,943
4,40	30,152
4,45	31,962
4,50	32,756
4,55	28,638
4,60	31,214
4,65	29,468
4,70	29,324
4,75	30,302
4,80	30,924
4,85	30,095
4,90	29,674
4,95	28,695
5,00	30,612
5,05	29,998
5,10	30,332
5,15	30,041
5,20	30,851
5,25	29,546
5,30	29,629
5,35	28,563
5,40	27,959
5,45	30,220
5,50	30,318
5,55	28,730
5,60	30,365
5,65	28,178
5,70	30,449
5,75	29,926
5,80	29,930
5,85	30,016
5,90	30,661
5,95	28,305
6,00	29,053
6,05	29,354
6,10	28,818
6,15	29,748
6,20	30,166
6,25	28,140
6,30	30,281
6,35	31,484
6,40	28,752
6,45	28,706
6,50	30,507
6,55	28,848
6,60	30,463
6,65	30,253
6,70	29,393
6,75	30,017
6,80	31,000
6,85	30,567
6,90	30,421
6,95	28,161
7,00	31,090
7,05	30,446
7,10	30,281
7,15	28,475
7,20	29,766
7,25	29,638
7,30	31,236
7,35	28,709
7,40	30,502
7,45	30,769
7,50	28,911
7,55	29,968
7,60	28,893
7,65	30,523
7,70	29,424
7,75	31,888
7,80	29,799
7,85	30,216
7,90	28,182
7,95	30,497
8,00	29,454
8,05	29,300
8,10	30,592
8,15	29,948
8,20	30,627
8,25	29,273
8,30	30,499
8,35	30,793
8,40	31,774
8,45	30,400
8,50	30,316
8,55	31,590
8,60	29,467
8,65	29,842
8,70	29,949
8,75	31,373
