filename,analyte,injection_date,target_rt,rt_window_min,rt_window_max,sample_dilution
2026.01.14_BLK_mecn_01.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,1
2026.01.14_BLK_mecn_02.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,1
2026.01.14_STD_0.00878125_mM_01.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,1
2026.01.14_STD_0.00878125_mM_02.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,1
2026.01.14_STD_0.015625_mM_01.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,1
2026.01.14_STD_0.015625_mM_02.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,1
2026.01.14_STD_0.03125_mM_01.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,1
2026.01.14_STD_0.03125_mM_02.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,1
2026.01.14_STD_0.0625_mM_0.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,1
2026.01.14_STD_0.0625_mM_01.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,1
2026.01.14_STD_0.125_mM_01.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,1
2026.01.14_STD_0.125_mM_02.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,1
2026.01.14_STD_0.25_mM_01.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,1
2026.01.14_STD_0.25_mM_02.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,1
2026.01.14_STD_0.5_mM_01.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,1
2026.01.14_STD_0.5_mM_02.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,1
2026.01.14_STD_1_mM_01.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,1
2026.01.14_STD_1_mM_02.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,1
2026.01.19_SMP_EXT1_01.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,714.285714285714
2026.01.19_SMP_EXT1_02.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,714.285714285714
2026.01.19_SMP_EXT2_01.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,714.285714285714
2026.01.19_SMP_EXT2_02.txt,Compound1,2026.01.14-19,2.9,2.5,3.3,714.285714285714
