[Header]
Application Name	LabSolutions
Version	5.71
Data File Name	C:\LabSolutions\Data\Project1\Analyst1\Compound1_Blank__02.lcd
Output Date	04/01/2013
Output Time	01:38:15

[File Information]
Type	Data File
Generated	03/01/2013 07:22:26
Generated by	System Administrator
Modified	03/01/2013 07:34:54
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	03/01/2013 07:22:52
Sample Type	2:Control
Level	0
Sample Name	Blank_
Sample ID	Blank_
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	48
Injection Volume	50

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Analyst1\Compound1_Blank__02.lcd
Method File	C:\LabSolutions\Data\Project1\Analyst1\Compound1.lcm
Batch File	C:\LabSolutions\Data\Project1\Analyst1\2026.01.14_Compound1_std_curve.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	HPLC-PC-Instrument
Instrument #	2
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	0

[Compound Results(PDA)]
# of IDs	0

[PDA Multi Chromatogram(Ch1)]
# of Points	      1128
Interval(msec)	640
Start Time(min)	0
End Time(min)	12,0213
Intensity Units	mAU
Intensity Multiplier	1
Type	MultiChrom
Wavelength(nm)	315
Bandwidth(nm)	4
R.Time (min)	Intensity
0,00000	0
0,01067	0
0,02133	0
0,03200	0
0,04267	0
0,05333	0
0,06400	0
0,07467	0
0,08533	0
0,09600	0
0,10667	8
0,11733	15
0,12800	17
0,13867	20
0,14933	17
0,16000	17
0,17067	14
0,18133	14
0,19200	15
0,20267	13
0,21333	16
0,22400	13
0,23467	7
0,24533	11
0,25600	13
0,26667	16
0,27733	15
0,28800	22
0,29867	11
0,30933	11
0,32000	9
0,33067	6
0,34133	5
0,35200	5
0,36267	4
0,37333	7
0,38400	7
0,39467	12
0,40533	13
0,41600	9
0,42667	5
0,43733	11
0,44800	19
0,45867	18
0,46933	16
0,48000	10
0,49067	10
0,50133	5
0,51200	3
0,52267	8
0,53333	7
0,54400	7
0,55467	9
0,56533	3
0,57600	9
0,58667	9
0,59733	0
0,60800	8
0,61867	3
0,62933	7
0,64000	8
0,65067	10
0,66133	9
0,67200	12
0,68267	8
0,69333	8
0,70400	7
0,71467	3
0,72533	7
0,73600	16
0,74667	13
0,75733	13
0,76800	13
0,77867	13
0,78933	9
0,80000	9
0,81067	15
0,82133	8
0,83200	14
0,84267	19
0,85333	10
0,86400	10
0,87467	4
0,88533	5
0,89600	4
0,90667	7
0,91733	13
0,92800	10
0,93867	9
0,94933	10
0,96000	12
0,97067	17
0,98133	12
0,99200	6
1,00267	6
1,01333	3
1,02400	8
1,03467	5
1,04533	9
1,05600	7
1,06667	5
1,07733	8
1,08800	13
1,09867	14
1,10933	16
1,12000	15
1,13067	14
1,14133	11
1,15200	8
1,16267	4
1,17333	11
1,18400	9
1,19467	9
1,20533	3
1,21600	7
1,22667	14
1,23733	18
1,24800	9
1,25867	9
1,26933	7
1,28000	12
1,29067	15
1,30133	13
1,31200	5
1,32267	11
1,33333	16
1,34400	14
1,35467	15
1,36533	10
1,37600	16
1,38667	18
1,39733	15
1,40800	19
1,41867	16
1,42933	15
1,44000	14
1,45067	14
1,46133	10
1,47200	12
1,48267	14
1,49333	9
1,50400	4
1,51467	10
1,52533	10
1,53600	8
1,54667	11
1,55733	8
1,56800	5
1,57867	5
1,58933	6
1,60000	11
1,61067	15
1,62133	19
1,63200	17
1,64267	11
1,65333	9
1,66400	3
1,67467	4
1,68533	5
1,69600	10
1,70667	7
1,71733	10
1,72800	6
1,73867	5
1,74933	9
1,76000	5
1,77067	5
1,78133	5
1,79200	5
1,80267	7
1,81333	8
1,82400	9
1,83467	5
1,84533	6
1,85600	5
1,86667	8
1,87733	12
1,88800	6
1,89867	9
1,90933	6
1,92000	14
1,93067	6
1,94133	7
1,95200	2
1,96267	5
1,97333	6
1,98400	12
1,99467	6
2,00533	5
2,01600	4
2,02667	14
2,03733	11
2,04800	4
2,05867	2
2,06933	4
2,08000	10
2,09067	9
2,10133	15
2,11200	14
2,12267	9
2,13333	3
2,14400	9
2,15467	10
2,16533	9
2,17600	11
2,18667	7
2,19733	6
2,20800	7
2,21867	6
2,22933	12
2,24000	9
2,25067	10
2,26133	7
2,27200	10
2,28267	11
2,29333	6
2,30400	-11
2,31467	-0
2,32533	3
2,33600	8
2,34667	4
2,35733	8
2,36800	10
2,37867	17
2,38933	11
2,40000	10
2,41067	10
2,42133	10
2,43200	12
2,44267	10
2,45333	11
2,46400	15
2,47467	16
2,48533	13
2,49600	13
2,50667	8
2,51733	7
2,52800	6
2,53867	2
2,54933	3
2,56000	3
2,57067	6
2,58133	4
2,59200	11
2,60267	6
2,61333	4
2,62400	8
2,63467	9
2,64533	9
2,65600	1
2,66667	-1
2,67733	2
2,68800	4
2,69867	5
2,70933	3
2,72000	10
2,73067	6
2,74133	9
2,75200	6
2,76267	13
2,77333	12
2,78400	13
2,79467	15
2,80533	15
2,81600	14
2,82667	9
2,83733	7
2,84800	15
2,85867	15
2,86933	16
2,88000	18
2,89067	18
2,90133	17
2,91200	21
2,92267	21
2,93333	22
2,94400	22
2,95467	20
2,96533	20
2,97600	19
2,98667	17
2,99733	24
3,00800	28
3,01867	29
3,02933	20
3,04000	16
3,05067	14
3,06133	6
3,07200	19
3,08267	23
3,09333	19
3,10400	16
3,11467	14
3,12533	12
3,13600	18
3,14667	19
3,15733	17
3,16800	18
3,17867	16
3,18933	16
3,20000	20
3,21067	24
3,22133	19
3,23200	19
3,24267	21
3,25333	15
3,26400	20
3,27467	18
3,28533	21
3,29600	18
3,30667	18
3,31733	17
3,32800	13
3,33867	16
3,34933	16
3,36000	19
3,37067	18
3,38133	14
3,39200	11
3,40267	10
3,41333	5
3,42400	9
3,43467	6
3,44533	18
3,45600	18
3,46667	11
3,47733	11
3,48800	9
3,49867	10
3,50933	10
3,52000	11
3,53067	13
3,54133	12
3,55200	13
3,56267	11
3,57333	9
3,58400	12
3,59467	9
3,60533	9
3,61600	7
3,62667	11
3,63733	19
3,64800	23
3,65867	23
3,66933	21
3,68000	21
3,69067	21
3,70133	20
3,71200	25
3,72267	28
3,73333	25
3,74400	22
3,75467	22
3,76533	20
3,77600	19
3,78667	18
3,79733	13
3,80800	15
3,81867	18
3,82933	24
