[Header]
Application Name	LabSolutions
Version	5.71
Data File Name	C:\LabSolutions\Data\Project1\Analyst1\2026.01.19_SMP_2.lcd
Output Date	01/01/2013
Output Time	02:19:51

[File Information]
Type	Data File
Generated	01/01/2013 01:25:24
Generated by	System Administrator
Modified	01/01/2013 01:37:52
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	01/01/2013 01:25:48
Sample Type	0:Unknown
Level	0
Sample Name	2026.01.19_SMP_
Sample ID	2026.01.19_SMP_
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	57
Injection Volume	10

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Analyst1\2026.01.19_SMP_2.lcd
Method File	C:\LabSolutions\Data\Project1\Analyst1\Compound1.lcm
Batch File	
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	HPLC-PC-Instrument
Instrument #	2
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	1
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	2,902	2,485	4,107	9345363	1202375	7,772	0,000	   			0,000	3064	48,963	1,585	0,000	0,000	0	0	0,000	0,000

[Compound Results(PDA)]
# of IDs	0

[PDA Multi Chromatogram(Ch1)]
# of Points	      1128
Interval(msec)	640
Start Time(min)	0
End Time(min)	12,0213
Intensity Units	mAU
Intensity Multiplier	1
Type	MultiChrom
Wavelength(nm)	315
Bandwidth(nm)	4
R.Time (min)	Intensity
0,00000	0
0,01067	0
0,02133	0
0,03200	0
0,04267	0
0,05333	0
0,06400	0
0,07467	0
0,08533	0
0,09600	0
0,10667	-2
0,11733	-1
0,12800	1
0,13867	4
0,14933	11
0,16000	12
0,17067	12
0,18133	11
0,19200	10
0,20267	3
0,21333	6
0,22400	7
0,23467	10
0,24533	6
0,25600	7
0,26667	10
0,27733	14
0,28800	20
0,29867	13
0,30933	12
0,32000	11
0,33067	14
0,34133	10
0,35200	10
0,36267	10
0,37333	11
0,38400	11
0,39467	11
0,40533	6
0,41600	8
0,42667	8
0,43733	5
0,44800	11
0,45867	9
0,46933	6
0,48000	8
0,49067	13
0,50133	7
0,51200	6
0,52267	4
0,53333	8
0,54400	4
0,55467	7
0,56533	4
0,57600	10
0,58667	9
0,59733	11
0,60800	8
0,61867	12
0,62933	20
0,64000	16
0,65067	12
0,66133	13
0,67200	9
0,68267	11
0,69333	23
0,70400	12
0,71467	16
0,72533	10
0,73600	14
0,74667	11
0,75733	18
0,76800	19
0,77867	19
0,78933	19
0,80000	10
0,81067	15
0,82133	12
0,83200	12
0,84267	14
0,85333	9
0,86400	13
0,87467	8
0,88533	4
0,89600	10
0,90667	8
0,91733	17
0,92800	18
0,93867	16
0,94933	11
0,96000	14
0,97067	19
0,98133	8
0,99200	12
1,00267	5
1,01333	11
1,02400	8
1,03467	3
1,04533	5
1,05600	12
1,06667	7
1,07733	6
1,08800	7
1,09867	5
1,10933	6
1,12000	7
1,13067	7
1,14133	8
1,15200	10
1,16267	10
1,17333	3
1,18400	5
1,19467	4
1,20533	9
1,21600	12
1,22667	13
1,23733	8
1,24800	6
1,25867	7
1,26933	16
1,28000	13
1,29067	17
1,30133	16
1,31200	16
1,32267	10
1,33333	7
1,34400	6
1,35467	3
1,36533	6
1,37600	15
1,38667	17
1,39733	10
1,40800	14
1,41867	21
1,42933	19
1,44000	18
1,45067	17
1,46133	16
1,47200	14
1,48267	13
1,49333	14
1,50400	16
1,51467	13
1,52533	15
1,53600	8
1,54667	12
1,55733	16
1,56800	11
1,57867	16
1,58933	17
1,60000	11
1,61067	14
1,62133	15
1,63200	15
1,64267	11
1,65333	17
1,66400	16
1,67467	15
1,68533	10
1,69600	8
1,70667	19
1,71733	14
1,72800	15
1,73867	16
1,74933	9
1,76000	9
1,77067	9
1,78133	8
1,79200	15
1,80267	11
1,81333	14
1,82400	17
1,83467	11
1,84533	11
1,85600	15
1,86667	10
1,87733	16
1,88800	17
1,89867	16
1,90933	11
1,92000	11
1,93067	15
1,94133	16
1,95200	19
1,96267	14
1,97333	15
1,98400	10
1,99467	12
2,00533	12
2,01600	13
2,02667	7
2,03733	11
2,04800	20
2,05867	21
2,06933	21
2,08000	24
2,09067	25
2,10133	17
2,11200	13
2,12267	9
2,13333	14
2,14400	20
2,15467	21
2,16533	19
2,17600	10
2,18667	15
2,19733	18
2,20800	24
2,21867	15
2,22933	21
2,24000	21
2,25067	18
2,26133	17
2,27200	11
2,28267	10
2,29333	12
2,30400	17
2,31467	17
2,32533	24
2,33600	19
2,34667	16
2,35733	12
2,36800	14
2,37867	16
2,38933	16
2,40000	9
2,41067	17
2,42133	13
2,43200	10
2,44267	14
2,45333	9
2,46400	7
2,47467	11
2,48533	10
2,49600	18
2,50667	22
2,51733	21
2,52800	34
2,53867	50
2,54933	67
2,56000	95
2,57067	136
2,58133	190
2,59200	267
2,60267	366
2,61333	489
2,62400	635
2,63467	800
2,64533	984
2,65600	1166
2,66667	1366
2,67733	1590
2,68800	1855
2,69867	2165
2,70933	2538
2,72000	2962
2,73067	3410
2,74133	3850
2,75200	4288
2,76267	4740
2,77333	5295
2,78400	6288
2,79467	9247
2,80533	20035
2,81600	55366
2,82667	145425
2,83733	309432
2,84800	527465
2,85867	754328
2,86933	947835
2,88000	1086269
2,89067	1169846
2,90133	1202433
2,91200	1180599
2,92267	1102432
2,93333	979327
2,94400	837165
2,95467	703426
2,96533	590273
2,97600	496914
2,98667	418677
2,99733	352030
3,00800	293813
3,01867	242211
3,02933	197262
3,04000	159312
3,05067	128050
3,06133	102768
3,07200	82787
3,08267	67129
3,09333	54802
3,10400	45115
3,11467	37492
3,12533	31414
3,13600	26524
3,14667	22573
3,15733	19368
3,16800	16713
3,17867	14496
3,18933	12653
3,20000	11099
3,21067	9771
3,22133	8628
3,23200	7661
3,24267	6817
3,25333	6095
3,26400	5456
3,27467	4909
3,28533	4427
3,29600	4003
3,30667	3628
3,31733	3302
3,32800	3015
3,33867	2759
3,34933	2530
3,36000	2324
3,37067	2144
3,38133	1980
3,39200	1835
3,40267	1709
3,41333	1596
3,42400	1487
3,43467	1394
3,44533	1303
3,45600	1221
3,46667	1156
3,47733	1098
3,48800	1036
3,49867	983
3,50933	936
3,52000	892
3,53067	850
3,54133	812
3,55200	781
3,56267	752
3,57333	716
3,58400	685
3,59467	663
3,60533	638
3,61600	610
3,62667	588
3,63733	571
3,64800	548
3,65867	527
3,66933	510
3,68000	495
3,69067	473
3,70133	458
3,71200	444
3,72267	433
3,73333	423
3,74400	414
3,75467	406
3,76533	390
3,77600	384
